ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
k__Archaea	5.21868	4.88745	4.03681
k__Archaea|p__Archaea_noname	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname|s__halophilic_archaeon_DL31	0.02883	0.0251	0.01784
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname|f__Archaea_noname|g__Archaea_noname|s__halophilic_archaeon_DL31|t__GCF_000224475	0.02883	0.0251	0.01784
k__Archaea|p__Crenarchaeota	0.92829	0.89286	0.6651
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname	0.07869	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname	0.07869	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname	0.07869	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname	0.07869	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_B05	0.01812	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_B05|t__GCF_000380705	0.01812	0.03037	0.02192
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_O08	0.06057	0.0	0.0
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_O08|t__GCF_000398765	0.06057	0.0	0.0
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0.84961	0.86249	0.64317
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	0.055	0.05112	0.03948
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae	0.03344	0.03068	0.01891
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus	0.03344	0.03068	0.01891
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus_saccharovorans	0.03344	0.03068	0.01891
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus_saccharovorans|t__GCF_000144915	0.03344	0.03068	0.01891
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae	0.02156	0.02044	0.02058
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera	0.02156	0.02044	0.02058
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera_lagunensis	0.02156	0.02044	0.02058
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera_lagunensis|t__GCF_000317795	0.02156	0.02044	0.02058
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0.29729	0.31569	0.22226
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	0.23455	0.26347	0.18883
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum	0.03971	0.02595	0.01789
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum_pernix	0.03971	0.02595	0.01789
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum_pernix|t__GCF_000011125	0.03971	0.02595	0.01789
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus	0.0579	0.07373	0.05679
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_fermentans	0.01695	0.0289	0.01855
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_fermentans|t__GCF_000231015	0.01695	0.0289	0.01855
