#SampleID	Metaphlan2_Analysis
k__Bacteria	64.86101
k__Viruses	28.65293
k__Archaea	4.03681
k__Eukaryota	2.15236
k__Viroids	0.29689
k__Viruses|p__Viruses_noname	28.65293
k__Bacteria|p__Proteobacteria	26.70254
k__Bacteria|p__Firmicutes	14.9724
k__Bacteria|p__Actinobacteria	8.0341
k__Bacteria|p__Bacteroidetes	6.34383
k__Archaea|p__Euryarchaeota	3.17505
k__Bacteria|p__Cyanobacteria	1.90434
k__Bacteria|p__Spirochaetes	1.42244
k__Eukaryota|p__Ascomycota	1.23784
k__Bacteria|p__Tenericutes	1.17295
k__Archaea|p__Crenarchaeota	0.6651
k__Bacteria|p__Deinococcus_Thermus	0.47856
k__Bacteria|p__Fusobacteria	0.39977
k__Bacteria|p__Verrucomicrobia	0.37242
k__Eukaryota|p__Apicomplexa	0.36559
k__Bacteria|p__Thermotogae	0.34271
k__Viroids|p__Viroids_noname	0.29689
k__Bacteria|p__Planctomycetes	0.29027
k__Bacteria|p__Synergistetes	0.28881
k__Bacteria|p__Chloroflexi	0.27547
k__Bacteria|p__Chlamydiae	0.26147
k__Eukaryota|p__Eukaryota_noname	0.25594
k__Bacteria|p__Aquificae	0.24356
k__Bacteria|p__Chlorobi	0.23834
k__Bacteria|p__Acidobacteria	0.1642
k__Eukaryota|p__Basidiomycota	0.15026
k__Archaea|p__Thaumarchaeota	0.1405
k__Bacteria|p__Deferribacteres	0.12317
k__Bacteria|p__Bacteria_noname	0.11727
k__Bacteria|p__Nitrospirae	0.10725
k__Eukaryota|p__Microsporidia	0.10418
k__Bacteria|p__Marinimicrobia	0.10126
k__Bacteria|p__Thermodesulfobacteria	0.08755
k__Bacteria|p__Candidatus_Saccharibacteria	0.06779
k__Bacteria|p__Nitrospinae	0.05956
k__Bacteria|p__Poribacteria	0.05462
k__Bacteria|p__Ignavibacteriae	0.04227
k__Bacteria|p__Dictyoglomi	0.03925
k__Eukaryota|p__Bacillariophyta	0.03855
k__Bacteria|p__Cloacimonetes	0.02294
k__Bacteria|p__Elusimicrobia	0.02098
k__Archaea|p__Korarchaeota	0.02041
k__Bacteria|p__Lentisphaerae	0.0193
k__Bacteria|p__Caldiserica	0.01899
k__Bacteria|p__Gemmatimonadetes	0.01894
k__Bacteria|p__Fibrobacteres	0.01843
k__Archaea|p__Nanoarchaeota	0.01792
k__Archaea|p__Archaea_noname	0.01784
k__Bacteria|p__Armatimonadetes	0.01771
k__Bacteria|p__Chrysiogenetes	0.01557
k__Viruses|p__Viruses_noname|c__Viruses_noname	28.65293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	14.08686
k__Bacteria|p__Actinobacteria|c__Actinobacteria	8.0341
k__Bacteria|p__Firmicutes|c__Bacilli	7.87466
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6.24
k__Bacteria|p__Firmicutes|c__Clostridia	5.7777
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.46017
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2.94257
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2.11292
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	1.86893
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.78308
k__Archaea|p__Euryarchaeota|c__Halobacteria	1.46129
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1.42244
k__Bacteria|p__Tenericutes|c__Mollicutes	1.17295
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.93492
k__Bacteria|p__Firmicutes|c__Negativicutes	0.86813
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.67475
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0.64317
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.63462
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.48129
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.47856
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.47828
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.43197
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.39977
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes	0.39132
k__Bacteria|p__Thermotogae|c__Thermotogae	0.34271
k__Viroids|p__Viroids_noname|c__Viroids_noname	0.29689
k__Archaea|p__Euryarchaeota|c__Thermococci	0.29571
k__Bacteria|p__Synergistetes|c__Synergistia	0.28881
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.27238
k__Archaea|p__Euryarchaeota|c__Methanococci	0.26802
k__Bacteria|p__Chlamydiae|c__Chlamydiia	0.26147
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	0.24483
k__Bacteria|p__Aquificae|c__Aquificae	0.24356
k__Bacteria|p__Chlorobi|c__Chlorobia	0.23834
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.22308
