ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
halophilic_archaeon_DL31	0.02883	0.0251	0.01784
Crenarchaeota_archaeon_SCGC_AAA471_B05	0.01812	0.03037	0.02192
Crenarchaeota_archaeon_SCGC_AAA471_O08	0.06057	0.0	0.0
Acidilobus_saccharovorans	0.03344	0.03068	0.01891
Caldisphaera_lagunensis	0.02156	0.02044	0.02058
Aeropyrum_pernix	0.03971	0.02595	0.01789
Desulfurococcus_fermentans	0.01695	0.0289	0.01855
Desulfurococcus_kamchatkensis	0.0	0.01941	0.01826
Desulfurococcus_mucosus	0.04095	0.02542	0.01998
Ignicoccus_hospitalis	0.03361	0.03011	0.02036
Ignisphaera_aggregans	0.01249	0.02524	0.01753
Staphylothermus_hellenicus	0.02383	0.0245	0.01931
Staphylothermus_marinus	0.01339	0.0186	0.01969
Thermogladius_cellulolyticus	0.02447	0.03184	0.01866
Thermosphaera_aggregans	0.02914	0.0335	0.0186
Hyperthermus_butylicus	0.0282	0.03107	0.01709
Pyrolobus_fumarii	0.03454	0.02115	0.01634
Fervidicoccus_fontis	0.01069	0.02536	0.01991
Acidianus_hospitalis	0.02558	0.02137	0.01918
Metallosphaera_cuprina	0.02762	0.03109	0.01865
Metallosphaera_sedula	0.03396	0.02375	0.01771
Metallosphaera_yellowstonensis	0.02776	0.02229	0.019
Sulfolobus_acidocaldarius	0.02346	0.02391	0.01964
Sulfolobus_islandicus	0.00828	0.02202	0.01894
Sulfolobus_solfataricus	0.01073	0.02306	0.01897
Sulfolobus_tokodaii	0.01947	0.02318	0.0185
Thermofilum_pendens	0.03961	0.0333	0.01916
Caldivirga_maquilingensis	0.02526	0.02089	0.01801
Pyrobaculum_aerophilum	0.0401	0.02377	0.02019
Pyrobaculum_arsenaticum	0.04219	0.02913	0.01927
Pyrobaculum_calidifontis	0.0387	0.028	0.02041
Pyrobaculum_islandicum	0.02982	0.02434	0.01936
Pyrobaculum_neutrophilum	0.02385	0.03211	0.01827
Pyrobaculum_oguniense	0.02087	0.02179	0.02079
Thermoproteus_uzoniensis	0.02465	0.01971	0.01833
Vulcanisaeta_distributa	0.01648	0.02115	0.01855
Vulcanisaeta_moutnovskia	0.00793	0.02544	0.0186
Vulcanisaeta_unclassified	0.00031	0.0	0.0
Archaeoglobus_fulgidus	0.01403	0.02528	0.01883
Archaeoglobus_profundus	0.03883	0.02259	0.01949
Archaeoglobus_sulfaticallidus	0.01426	0.02191	0.0202
Archaeoglobus_veneficus	0.02301	0.02686	0.01822
Ferroglobus_placidus	0.01314	0.02305	0.01773
Aciduliprofundum_boonei	0.01537	0.02571	0.02138
Marine_Group_III_euryarchaeote_SCGC_AAA007_O11	0.03008	0.02558	0.01796
Marine_Group_III_euryarchaeote_SCGC_AAA288_E19	0.02801	0.03068	0.0185
Marine_Group_II_euryarchaeote_SCGC_AB_629_J06	0.01448	0.01743	0.02101
Marine_group_II_euryarchaeote_SCGC_AAA288_C18	0.05325	0.02769	0.01975
Candidatus_Halobonum_tyrrellensis	0.04091	0.03016	0.01717
Haladaptatus_paucihalophilus	0.02247	0.02836	0.01582
Halalkalicoccus_jeotgali	0.03199	0.02614	0.01724
Halarchaeum_acidiphilum	0.04677	0.02969	0.01887
Haloarcula_amylolytica	0.02599	0.03069	0.01901
Haloarcula_argentinensis	0.0183	0.02013	0.01625
Haloarcula_californiae	0.02203	0.02108	0.01545
Haloarcula_hispanica	0.03392	0.01471	0.01883
Haloarcula_japonica	0.02017	0.02457	0.01786
Haloarcula_marismortui	0.00878	0.01953	0.02034
Haloarcula_sinaiiensis	0.03784	0.01784	0.01915
Haloarcula_vallismortis	0.02121	0.02466	0.01749
Halobacterium_salinarum	0.0281	0.02775	0.01558
Halobacterium_unclassified	0.01966	0.0	0.00242
Halobiforma_lacisalsi	0.04413	0.02799	0.0163
Halobiforma_nitratireducens	0.02289	0.02466	0.01756
Halococcus_hamelinensis	0.02434	0.0323	0.01807
Halococcus_morrhuae	0.01763	0.01276	0.01974
Halococcus_saccharolyticus	0.01742	0.02345	0.01619
Halococcus_salifodinae	0.02278	0.01549	0.01785
Halococcus_thailandensis	0.02116	0.02272	0.01817
Haloferax_alexandrinus	0.03066	0.01455	0.01505
Haloferax_denitrificans	0.02813	0.03078	0.02056
Haloferax_elongans	0.04106	0.02681	0.01693
Haloferax_gibbonsii	0.02697	0.02567	0.01789
Haloferax_larsenii	0.0239	0.02389	0.01955
Haloferax_lucentense	0.03055	0.02367	0.0273
Haloferax_mediterranei	0.02424	0.02506	0.01681
Haloferax_mucosum	0.04286	0.023	0.01601
Haloferax_prahovense	0.02747	0.02767	0.01896
Haloferax_sp_BAB2207	0.0	0.0	0.01998
Haloferax_sulfurifontis	0.05117	0.02483	0.01825
Haloferax_volcanii	0.02731	0.01446	0.01672
Halogeometricum_borinquense	0.02638	0.02119	0.01856
Halogranum_salarium	0.01371	0.01594	0.01741
Halomicrobium_katesii	0.02843	0.02934	0.01809
Halomicrobium_mukohataei	0.02923	0.02705	0.01764
Halonotius_unclassified	0.021	0.02394	0.0167
Halopiger_xanaduensis	0.02031	0.01447	0.01711
Haloquadratum_walsbyi	0.02597	0.02363	0.03644
Halorhabdus_tiamatea	0.03117	0.02019	0.01681
Halorhabdus_utahensis	0.03806	0.02512	0.01743
Halorubrum_aidingense	0.03363	0.02417	0.0181
Halorubrum_arcis	0.03237	0.02006	0.01874
Halorubrum_californiense	0.04262	0.0221	0.01867
Halorubrum_coriense	0.02453	0.02441	0.01722
Halorubrum_distributum	0.04328	0.02646	0.0179
Halorubrum_hochstenium	0.02745	0.01968	0.02033
Halorubrum_kocurii	0.03214	0.0216	0.01758
Halorubrum_lacusprofundi	0.03912	0.02589	0.02122
Halorubrum_lipolyticum	0.03401	0.02899	0.01789
Halorubrum_litoreum	0.03007	0.03339	0.01675
Halorubrum_saccharovorum	0.02534	0.02252	0.01546
Halorubrum_tebenquichense	0.01911	0.01893	0.01659
Halorubrum_terrestre	0.01733	0.02577	0.01944
Halosarcina_pallida	0.00874	0.02597	0.01788
Halosimplex_carlsbadense	0.03702	0.02317	0.01798
Haloterrigena_limicola	0.02132	0.0272	0.01667
Haloterrigena_salina	0.03048	0.02066	0.01714
Haloterrigena_thermotolerans	0.03254	0.03013	0.01706
Haloterrigena_turkmenica	0.02978	0.02528	0.0161
Halovivax_asiaticus	0.02414	0.02362	0.01792
Halovivax_ruber	0.02148	0.02197	0.01546
Halovivax_unclassified	0.00419	0.0	0.0
Natrialba_aegyptia	0.0196	0.01589	0.01605
Natrialba_asiatica	0.01319	0.02178	0.01807
Natrialba_chahannaoensis	0.02637	0.02521	0.01718
Natrialba_hulunbeirensis	0.03196	0.02045	0.0145
Natrialba_magadii	0.01677	0.01863	0.01719
Natrialba_taiwanensis	0.02979	0.01558	0.01714
Natrinema_altunense	0.02389	0.02269	0.01692
Natrinema_gari	0.01883	0.02098	0.01964
Natrinema_pallidum	0.00953	0.02559	0.01472
Natrinema_pellirubrum	0.01724	0.021	0.01678
